emp_no,first_name,last_name,title,from_date,to_date
10001,Georgi,Facello,Senior Engineer,6/26/1986,1/1/9999
10004,Chirstian,Koblick,Senior Engineer,12/1/1995,1/1/9999
10005,Kyoichi,Maliniak,Senior Staff,9/12/1996,1/1/9999
10006,Anneke,Preusig,Senior Engineer,8/5/1990,1/1/9999
10009,Sumant,Peac,Senior Engineer,2/18/1995,1/1/9999
10018,Kazuhide,Peha,Senior Engineer,4/3/1995,1/1/9999
10019,Lillian,Haddadi,Staff,4/30/1999,1/1/9999
10020,Mayuko,Warwick,Engineer,12/30/1997,1/1/9999
10022,Shahaf,Famili,Engineer,9/3/1999,1/1/9999
10023,Bojan,Montemayor,Engineer,9/27/1999,1/1/9999
10026,Yongqiao,Berztiss,Senior Engineer,3/19/2001,1/1/9999
10035,Alain,Chappelet,Senior Engineer,9/5/1996,1/1/9999
10047,Zvonko,Nyanchama,Senior Engineer,3/31/1998,1/1/9999
10051,Hidefumi,Caine,Senior Engineer,10/15/1998,1/1/9999
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994,1/1/9999
10057,Ebbe,Callaway,Senior Engineer,1/15/2000,1/1/9999
10058,Berhard,McFarlin,Senior Staff,4/25/1988,1/1/9999
10059,Alejandro,McAlpine,Senior Staff,6/26/1991,1/1/9999
10063,Gino,Leonhardt,Senior Engineer,4/8/1989,1/1/9999
10066,Kwee,Schusler,Senior Engineer,2/25/1998,1/1/9999
10067,Claudi,Stavenow,Senior Engineer,3/3/1996,1/1/9999
10070,Reuven,Garigliano,Technique Leader,10/14/1985,1/1/9999
10072,Hironoby,Sidou,Senior Engineer,5/21/1995,1/1/9999
10074,Mokhtar,Bernatsky,Technique Leader,8/13/1990,1/1/9999
10076,Erez,Ritzmann,Senior Engineer,7/15/1996,1/1/9999
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993,1/1/9999
10091,Amabile,Gomatam,Senior Engineer,11/18/2001,1/1/9999
10096,Jayson,Mandell,Engineer,1/23/1999,1/1/9999
10097,Remzi,Waschkowski,Senior Staff,9/14/1996,1/1/9999
10100,Hironobu,Haraldson,Senior Staff,9/21/1994,1/1/9999
10103,Akemi,Birch,Engineer,1/12/1998,1/1/9999
10106,Eben,Aingworth,Senior Engineer,10/26/1997,1/1/9999
10126,Kayoko,Valtorta,Senior Staff,9/8/1991,1/1/9999
10127,Subir,Baja,Senior Engineer,5/17/1991,1/1/9999
10129,Armond,Peir,Technique Leader,1/16/1996,1/1/9999
10130,Nishit,Casperson,Senior Engineer,6/21/1988,1/1/9999
10134,Diederik,Siprelle,Senior Engineer,12/12/1994,1/1/9999
10138,Perry,Shimshoni,Senior Engineer,3/3/2001,1/1/9999
10150,Zhenbing,Perng,Senior Engineer,11/16/1995,1/1/9999
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000,1/1/9999
10157,Nigel,Aloisi,Senior Engineer,12/10/1997,1/1/9999
10159,Serif,Buescher,Senior Engineer,6/12/1996,1/1/9999
10160,Debatosh,Khasidashvili,Senior Staff,12/6/2000,1/1/9999
10163,Karsten,Szmurlo,Senior Staff,2/2/1992,1/1/9999
10166,Samphel,Siegrist,Engineer,9/2/1996,1/1/9999
10183,Mechthild,Bonifati,Staff,8/11/1996,1/1/9999
10194,Josyula,Hofmeyr,Senior Staff,2/14/2002,1/1/9999
10196,Marc,Hellwagner,Staff,1/31/1999,1/1/9999
